Date,Actual,Goal
Jun 28 2022,7225,8000
Jun 29 2022,8819,8000
Jun 30 2022,5082,8000
Jul 1 2022,6819,8000
Jul 2 2022,5603,8000
Jul 3 2022,3336,8000
Jul 4 2022,8627,8000
Jul 5 2022,3148,8000
Jul 6 2022,3874,8000
Jul 7 2022,7867,8000
Jul 8 2022,5710,8000
Jul 9 2022,6174,8000
Jul 10 2022,7248,8000
Jul 11 2022,9562,8000
Jul 12 2022,2109,8000
Jul 13 2022,3602,8000
Jul 14 2022,5306,8000
Jul 15 2022,2850,8000
Jul 16 2022,6046,8000
Jul 17 2022,7494,8000
Jul 18 2022,9815,8000
Jul 19 2022,4395,8000
Jul 20 2022,7607,8000
Jul 21 2022,5318,8000
Jul 22 2022,3221,8000
Jul 23 2022,8151,8000
Jul 24 2022,3723,8000
Jul 25 2022,11480,8000
