Date,Actual,Goal
May 31 2022,0,8000
Jun 1 2022,0,8000
Jun 2 2022,0,8000
Jun 3 2022,1102,8000
Jun 4 2022,1254,8000
Jun 5 2022,1792,8000
Jun 6 2022,3723,8000
Jun 7 2022,1540,8000
Jun 8 2022,4388,8000
Jun 9 2022,0,8000
Jun 10 2022,5413,8000
Jun 11 2022,4027,8000
Jun 12 2022,3970,8000
Jun 13 2022,8372,8000
Jun 14 2022,6329,8000
Jun 15 2022,7125,8000
Jun 16 2022,3445,8000
Jun 17 2022,2866,8000
Jun 18 2022,2119,8000
Jun 19 2022,2691,8000
Jun 20 2022,8279,8000
Jun 21 2022,1863,8000
Jun 22 2022,3477,8000
Jun 23 2022,4863,8000
Jun 24 2022,4005,8000
Jun 25 2022,6105,8000
Jun 26 2022,5744,8000
Jun 27 2022,7564,8000
