Date,Actual,Goal
Jun 27 2023,2365,6500
Jun 28 2023,7909,6500
Jun 29 2023,12829,6500
Jun 30 2023,6717,6500
Jul 1 2023,9217,6500
Jul 2 2023,6538,6500
Jul 3 2023,8618,6500
Jul 4 2023,7081,6500
Jul 5 2023,4679,6500
Jul 6 2023,9253,6500
Jul 7 2023,7201,6500
Jul 8 2023,6525,6500
Jul 9 2023,3629,6500
Jul 10 2023,6555,6500
Jul 11 2023,7665,6500
Jul 12 2023,4289,6500
Jul 13 2023,11093,6500
Jul 14 2023,8706,6500
Jul 15 2023,3151,6500
Jul 16 2023,6908,6500
Jul 17 2023,11524,6500
Jul 18 2023,7049,6500
Jul 19 2023,10224,6500
Jul 20 2023,8393,6500
Jul 21 2023,5954,6500
Jul 22 2023,9550,6500
Jul 23 2023,5157,6500
Jul 24 2023,8923,6500
