Date,Actual,Goal
May 30 2023,5174,6500
May 31 2023,4099,6500
Jun 1 2023,6488,6500
Jun 2 2023,3647,6500
Jun 3 2023,1406,6500
Jun 4 2023,3878,6500
Jun 5 2023,8869,6500
Jun 6 2023,3241,6500
Jun 7 2023,4030,6500
Jun 8 2023,5973,6500
Jun 9 2023,5843,6500
Jun 10 2023,3022,6500
Jun 11 2023,3825,6500
Jun 12 2023,5266,6500
Jun 13 2023,6074,6500
Jun 14 2023,5511,6500
Jun 15 2023,7763,6500
Jun 16 2023,3595,6500
Jun 17 2023,6315,6500
Jun 18 2023,643,6500
Jun 19 2023,9806,6500
Jun 20 2023,6746,6500
Jun 21 2023,5668,6500
Jun 22 2023,4950,6500
Jun 23 2023,5343,6500
Jun 24 2023,1839,6500
Jun 25 2023,2664,6500
Jun 26 2023,2211,6500
