Date,Actual,Goal
May 2 2023,6252,6500
May 3 2023,6601,6500
May 4 2023,7031,6500
May 5 2023,2173,6500
May 6 2023,5839,6500
May 7 2023,3363,6500
May 8 2023,7263,6500
May 9 2023,4539,6500
May 10 2023,7829,6500
May 11 2023,8100,6500
May 12 2023,7985,6500
May 13 2023,4994,6500
May 14 2023,1393,6500
May 15 2023,6218,6500
May 16 2023,6427,6500
May 17 2023,7453,6500
May 18 2023,6377,6500
May 19 2023,5817,6500
May 20 2023,2683,6500
May 21 2023,2532,6500
May 22 2023,4867,6500
May 23 2023,5695,6500
May 24 2023,11038,6500
May 25 2023,5143,6500
May 26 2023,6019,6500
May 27 2023,3263,6500
May 28 2023,6504,6500
May 29 2023,4962,6500
